Date,Price,Open,High,Low,Vol,Change %
06/18/2025,27.81,27.77,28.16,27.37,1.56,-0.36%
06/17/2025,27.91,27.73,28.28,27.72,1.22,-0.85%
06/16/2025,28.15,27.35,28.16,27.13,1.52,5.12%
06/13/2025,26.78,27.8,28.06,26.75,1.79,-5.04%
06/12/2025,28.2,28.5,28.87,28.05,1.25,-2.35%
06/11/2025,28.88,29.84,29.84,28.87,1.48,-2.10%
06/10/2025,29.5,29.01,29.74,28.92,1.38,1.86%
06/09/2025,28.96,28.97,29.28,28.54,1.44,1.15%
06/06/2025,28.63,28.5,28.88,28.02,1.9,3.10%
06/05/2025,27.77,28.72,29.25,27.49,3.5,-7.03%
06/04/2025,29.87,30,30.16,29.65,953.67,-0.67%
06/03/2025,30.07,28.4,30.19,28.1,1.43,5.95%
06/02/2025,28.38,28.07,28.49,27.12,1.41,0.28%
05/30/2025,28.3,27.95,28.49,27.54,1.56,1.36%
05/29/2025,27.92,28.95,28.95,27.82,1.37,-1.24%
05/28/2025,28.27,28.74,28.9,28.2,1.09,-1.91%
05/27/2025,28.82,28.91,29.07,28.2,1.53,2.97%
05/23/2025,27.99,28.21,28.77,27.98,1.57,-3.91%
05/22/2025,29.13,28.95,29.5,28.7,1.3,1.22%
05/21/2025,28.78,29.8,30.01,28.69,1.42,-4.77%
05/20/2025,30.22,30.2,30.57,29.91,982.44,-0.40%
05/19/2025,30.34,30.31,30.6,29.82,1.19,-2.44%
05/16/2025,31.1,30.67,31.18,30.25,1.12,1.37%
05/15/2025,30.68,31.24,31.5,30.05,1.35,-1.73%
05/14/2025,31.22,31.59,32,30.87,1.14,-0.92%
05/13/2025,31.51,31.82,32.33,31.44,1.48,-0.32%
05/12/2025,31.61,30.94,31.64,29.96,1.85,8.36%
05/09/2025,29.17,30.1,30.64,28.63,1.72,-2.41%
05/08/2025,29.89,28.8,30.39,28.62,1.98,4.44%
05/07/2025,28.62,28.31,29.12,27.6,2.61,1.31%
05/06/2025,28.25,30,30.42,27.83,5.17,-13.77%
05/05/2025,32.76,31.98,33.46,31.56,2.16,0.61%
05/02/2025,32.56,32.24,32.95,31.9,1.44,3.43%
05/01/2025,31.48,31.64,32.16,31.36,856.04,1.88%
04/30/2025,30.9,30.17,31.04,29.61,1.04,-1.65%
04/29/2025,31.42,30.85,31.77,30.85,1.4,1.85%
04/28/2025,30.85,30.89,31.21,30.24,1.09,0.33%
04/25/2025,30.75,29.77,30.81,29.58,837.29,2.67%
04/24/2025,29.95,28.25,30.08,28,1.08,6.02%
04/23/2025,28.25,28.49,29.89,27.92,1.21,5.88%
04/22/2025,26.68,26.18,27.13,26.05,1.18,2.97%
04/21/2025,25.91,26.86,27.11,25.75,995.48,-5.37%
04/17/2025,27.38,27.89,28.06,27.08,782.72,-1.72%
04/16/2025,27.86,27.61,28.27,27.18,1.02,-0.82%
04/15/2025,28.09,27.52,28.52,27.52,1.1,1.81%
04/14/2025,27.59,28.65,28.69,27.01,1.44,-0.18%
04/11/2025,27.64,28.21,28.25,26.91,1.5,-2.06%
04/10/2025,28.22,29.48,30.1,27.47,1.48,-7.99%
04/09/2025,30.67,25.83,31.73,25.73,3.47,18.37%
04/08/2025,25.91,29.69,29.87,25.45,2.63,-7.92%
04/07/2025,28.14,26.96,30.28,25.54,3.11,-1.78%
04/04/2025,28.65,31.4,32.54,27.68,3.03,-8.26%
04/03/2025,31.23,33.28,33.39,30.9,1.6,-11.25%
04/02/2025,35.19,32.86,35.36,32.8,1.15,4.14%
04/01/2025,33.79,33.25,33.9,32.77,999.38,1.20%
03/31/2025,33.39,33,33.7,32.23,1.2,-2.28%
03/28/2025,34.17,35.12,35.25,33.46,1.41,-3.83%
03/27/2025,35.53,36.12,36.45,35.34,865.01,-3.19%
03/26/2025,36.7,37.94,38,36.44,850.65,-3.37%
03/25/2025,37.98,38.04,38.12,37.44,725.59,0.26%
03/24/2025,37.88,37.5,38.02,37.33,918.05,2.68%
03/21/2025,36.89,35.93,37.1,35.71,1.55,0.93%
03/20/2025,36.55,35.81,37.14,35.81,867.8,0.41%
03/19/2025,36.4,35.89,37.04,35.8,733.67,1.68%
03/18/2025,35.8,36.63,36.72,35.55,917.51,-2.90%
03/17/2025,36.87,35.81,37.33,35.81,1.02,1.96%
03/14/2025,36.16,35.8,36.81,35.8,1.18,2.38%
03/13/2025,35.32,35.97,36.17,35.02,1.07,-2.16%
03/12/2025,36.1,37.26,37.85,35.88,1.28,-0.47%
03/11/2025,36.27,36.38,37.47,35.51,1.18,-1.84%
03/10/2025,36.95,38.61,38.94,35.67,1.47,-7.37%
03/07/2025,39.89,39.78,40.45,38.18,929.19,-0.57%
03/06/2025,40.12,40.82,41.58,39.84,961.66,-3.42%
03/05/2025,41.54,40.62,41.73,40.07,911.14,2.77%
03/04/2025,40.42,39.46,40.85,38.23,1.66,0.17%
03/03/2025,40.35,43.22,43.24,39.95,1.6,-5.83%
02/28/2025,42.85,42.36,43.73,41.16,1.2,0.33%
02/27/2025,42.71,44,46.1,42.66,2.42,-2.80%
02/26/2025,43.94,41.41,44.01,39.72,2.41,7.62%
02/25/2025,40.83,45,45,40.4,4.22,9.85%
02/24/2025,37.17,39.31,39.56,36.24,3.89,-5.42%
02/21/2025,39.3,43.45,43.8,39.26,1.85,-8.69%
02/20/2025,43.04,43.89,44.33,41.87,1.43,-2.78%
02/19/2025,44.27,46.08,46.48,44.21,1.23,-5.18%
02/18/2025,46.69,44.57,47.02,44.44,1.36,4.90%
02/14/2025,44.51,45.66,45.66,44.34,886.58,-2.90%
02/13/2025,45.84,45.42,45.9,44.44,897.45,1.17%
02/12/2025,45.31,44.52,45.8,44.2,777.21,0.15%
02/11/2025,45.24,45.25,46.46,44.7,841.82,-1.50%
02/10/2025,45.93,45.45,46.16,45.02,986.03,2.57%
02/07/2025,44.78,44,45.8,43.81,1.65,1.80%
02/06/2025,43.99,43.26,44,42.65,1.1,2.42%
02/05/2025,42.95,40.83,43.23,40.83,1.74,5.22%
02/04/2025,40.82,40.58,41.21,40.32,922.47,1.44%
02/03/2025,40.24,40.07,40.82,38.65,1.62,-2.99%
01/31/2025,41.48,42.06,42.65,40.86,1.24,-0.53%
01/30/2025,41.7,42.04,42.45,41.35,1.43,-0.26%
01/29/2025,41.81,41.87,42.23,40.43,888.18,-0.38%
01/28/2025,41.97,40.5,42.81,39.62,1.71,4.56%
01/27/2025,40.14,39.41,41.88,38.59,1.88,-0.10%
01/24/2025,40.18,40,41.85,39.12,1.91,3.74%
01/23/2025,38.73,37.91,38.76,37.35,941.39,1.20%
01/22/2025,38.27,37.5,38.72,37.24,1.16,2.71%
01/21/2025,37.26,36.8,37.49,36.37,954.45,3.13%
01/17/2025,36.13,35.7,36.35,34.91,1.01,2.44%
01/16/2025,35.27,35.85,37,35.11,1.1,3.01%
01/15/2025,34.24,34.57,34.98,33.92,787.61,2.03%
01/14/2025,33.56,33.8,34.22,32.99,976.91,0.24%
01/13/2025,33.48,33.35,33.89,33.08,724.28,-1.59%
01/10/2025,34.02,33.73,34.22,32.9,809.14,-1.33%
01/08/2025,34.48,34.3,35.17,34.01,717.16,-1.29%
01/07/2025,34.93,35.96,36.2,34.61,1.13,-1.88%
01/06/2025,35.6,36.07,36.64,35.44,569.66,-0.34%
01/03/2025,35.72,34.5,36,34.2,668.62,4.26%
01/02/2025,34.26,34.68,34.83,33.8,544.55,0.56%
12/31/2024,34.07,34.43,34.76,33.99,526.98,-0.29%
12/30/2024,34.17,34.16,34.49,33.59,613.82,-2.15%
12/27/2024,34.92,35.75,35.75,34.56,747.62,-2.81%
12/26/2024,35.93,35.35,36.26,35.21,408.7,0.98%
12/24/2024,35.58,35.68,35.81,35.35,231.36,-0.28%
12/23/2024,35.68,35.7,36.14,35.33,633.97,-0.06%
12/20/2024,35.7,34.61,36.43,34.54,1.71,0.71%
12/19/2024,35.45,35.72,36.01,34.58,974.9,1.90%
12/18/2024,34.79,38.18,38.18,34.64,1.1,-7.87%
12/17/2024,37.76,37.5,38.55,37.16,915.79,-0.03%
12/16/2024,37.77,38.14,38.63,37.63,614.3,-0.94%
12/13/2024,38.13,39.35,39.5,37.82,591.4,-3.15%
12/12/2024,39.37,38.15,39.39,38.01,475.15,2.50%
12/11/2024,38.41,38.68,39.55,38.13,689.02,0.31%
12/10/2024,38.29,39.06,39.44,37.97,829.42,-1.90%
12/09/2024,39.03,40.62,41.37,38.97,674.23,-2.84%
12/06/2024,40.17,40.19,41.09,39.84,545.66,1.59%
12/05/2024,39.54,39.98,40.22,39.44,548.92,-1.03%
12/04/2024,39.95,39.5,40.76,39.44,725.75,2.73%
